,player_id,season,age,games,passing_yards,pass_td,interception,comp_pct,receptions,receiving_yards,reception_td,rush_attempts,rushing_yards,run_td
602,00-0026996,2013,28,14,0.0,0.0,0.0,0.0,41.0,416.0,3.0,0.0,0.0,0.0
603,00-0026996,2014,29,7,0.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0
604,00-0026996,2015,30,7,0.0,0.0,0.0,0.0,7.0,67.0,1.0,0.0,0.0,0.0
605,00-0034646,2018,22,4,0.0,0.0,0.0,0.0,11.0,129.0,0.0,1.0,4.0,0.0
606,00-0034646,2020,24,10,0.0,0.0,0.0,0.0,12.0,69.0,2.0,2.0,7.0,0.0
607,00-0034646,2022,26,16,0.0,0.0,0.0,0.0,24.0,156.0,0.0,17.0,80.0,0.0
608,00-0034646,2023,27,13,0.0,0.0,0.0,0.0,29.0,324.0,1.0,5.0,17.0,0.0
609,00-0015754,2012,36,14,0.0,0.0,0.0,0.0,45.0,544.0,5.0,0.0,0.0,0.0
610,00-0015754,2013,37,6,0.0,0.0,0.0,0.0,13.0,115.0,0.0,0.0,0.0,0.0
611,00-0027057,2012,25,12,0.0,0.0,0.0,0.0,13.0,211.0,3.0,1.0,0.0,0.0
612,00-0027057,2013,26,2,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
613,00-0027057,2014,27,12,0.0,0.0,0.0,0.0,17.0,193.0,1.0,3.0,21.0,0.0
614,00-0027057,2015,28,3,0.0,0.0,0.0,0.0,2.0,59.0,1.0,0.0,0.0,0.0
615,00-0027057,2016,29,8,0.0,0.0,0.0,0.0,8.0,117.0,0.0,3.0,48.0,0.0
616,00-0027057,2017,30,5,0.0,0.0,0.0,0.0,6.0,81.0,1.0,0.0,0.0,0.0
617,00-0029677,2012,29,15,3199.0,16.0,17.0,0.546,0.0,0.0,0.0,22.0,116.0,0.0
618,00-0029677,2013,30,8,1553.0,10.0,9.0,0.48,0.0,0.0,0.0,10.0,46.0,0.0
619,00-0029677,2014,31,4,294.0,3.0,2.0,0.571,0.0,0.0,0.0,6.0,-1.0,0.0
620,00-0029677,2015,32,4,966.0,5.0,2.0,0.651,0.0,0.0,0.0,9.0,55.0,1.0
621,00-0032593,2016,23,3,0.0,0.0,0.0,0.0,2.0,20.0,0.0,10.0,27.0,0.0
622,00-0032593,2018,25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0
623,00-0034052,2018,25,2,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0
624,00-0034052,2019,26,4,0.0,0.0,0.0,0.0,8.0,106.0,0.0,0.0,0.0,0.0
625,00-0034052,2020,27,4,0.0,0.0,0.0,0.0,3.0,35.0,0.0,1.0,1.0,0.0
626,00-0034052,2021,28,9,0.0,0.0,0.0,0.0,18.0,250.0,1.0,0.0,0.0,0.0
627,00-0034419,2019,24,6,0.0,0.0,0.0,0.0,6.0,115.0,0.0,0.0,0.0,0.0
628,00-0034419,2020,25,13,0.0,0.0,0.0,0.0,37.0,394.0,3.0,3.0,29.0,0.0
