playerID,year,games,passYds,passTDs,ints,compPct,rec,recYds,recTDs,rshAtt,rshYds,rshTDs
00-0030780,2018,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
00-0034439,2019,4,0.0,0.0,0.0,0.0,6.0,114.0,1.0,0.0,0.0,0.0
00-0034439,2020,10,0.0,0.0,0.0,0.0,13.0,199.0,0.0,0.0,0.0,0.0
00-0029531,2012,6,661.0,4.0,7.0,0.486,0.0,0.0,0.0,4.0,7.0,0.0
00-0029531,2014,3,516.0,2.0,4.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0
00-0029531,2015,1,58.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
00-0032650,2017,1,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
00-0028012,2012,3,17.0,0.0,1.0,0.25,0.0,0.0,0.0,6.0,-6.0,0.0
00-0028012,2014,3,395.0,2.0,2.0,0.554,0.0,0.0,0.0,3.0,4.0,0.0
00-0028012,2015,5,1306.0,5.0,6.0,0.546,0.0,0.0,0.0,4.0,16.0,1.0
00-0028012,2016,4,26.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
00-0028012,2017,2,56.0,2.0,0.0,0.529,0.0,0.0,0.0,1.0,0.0,1.0
00-0027864,2015,13,0.0,0.0,0.0,0.0,20.0,146.0,2.0,106.0,539.0,6.0
00-0027864,2016,13,0.0,0.0,0.0,0.0,13.0,115.0,1.0,157.0,665.0,8.0
00-0034597,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0
00-0034597,2020,6,0.0,0.0,0.0,0.0,8.0,67.0,1.0,3.0,0.0,0.0
00-0034597,2021,2,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0
00-0033562,2017,6,0.0,0.0,0.0,0.0,6.0,41.0,0.0,4.0,5.0,0.0
00-0033562,2018,16,0.0,0.0,0.0,0.0,36.0,253.0,1.0,6.0,21.0,0.0
00-0033562,2019,3,0.0,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0
00-0029701,2012,16,3064.0,14.0,13.0,0.543,0.0,0.0,0.0,33.0,224.0,2.0
00-0029701,2013,16,3514.0,26.0,17.0,0.552,0.0,0.0,0.0,31.0,245.0,1.0
00-0029701,2014,16,3708.0,27.0,12.0,0.617,1.0,-4.0,0.0,43.0,324.0,1.0
00-0029701,2015,16,3790.0,26.0,12.0,0.575,1.0,9.0,0.0,25.0,149.0,1.0
00-0029701,2016,13,2781.0,20.0,12.0,0.624,0.0,0.0,0.0,35.0,168.0,1.0
00-0029701,2018,11,1700.0,20.0,9.0,0.571,1.0,3.0,1.0,23.0,154.0,0.0
00-0029701,2019,12,2530.0,22.0,6.0,0.638,0.0,0.0,0.0,27.0,203.0,4.0
00-0029701,2020,16,3648.0,34.0,7.0,0.621,1.0,0.0,0.0,37.0,277.0,7.0
00-0029701,2021,17,3409.0,22.0,14.0,0.618,0.0,0.0,0.0,46.0,279.0,7.0
00-0029701,2022,12,2300.0,15.0,6.0,0.592,0.0,0.0,0.0,23.0,109.0,2.0
00-0029701,2023,9,1386.0,4.0,7.0,0.573,0.0,0.0,0.0,12.0,79.0,1.0
00-0027976,2012,5,0.0,0.0,0.0,0.0,7.0,44.0,0.0,58.0,164.0,0.0
00-0035268,2019,14,0.0,0.0,0.0,0.0,14.0,144.0,2.0,35.0,108.0,0.0
00-0035268,2021,2,0.0,0.0,0.0,0.0,3.0,16.0,0.0,15.0,80.0,0.0
00-0036020,2020,6,0.0,0.0,0.0,0.0,11.0,63.0,0.0,75.0,319.0,3.0
00-0036020,2021,11,0.0,0.0,0.0,0.0,12.0,117.0,0.0,54.0,149.0,0.0
00-0036020,2022,6,0.0,0.0,0.0,0.0,1.0,8.0,0.0,12.0,64.0,1.0
00-0036020,2023,7,0.0,0.0,0.0,0.0,16.0,88.0,2.0,22.0,61.0,1.0
00-0027854,2015,14,3525.0,20.0,14.0,0.619,0.0,0.0,0.0,15.0,50.0,1.0
00-0027854,2016,15,3601.0,20.0,5.0,0.669,1.0,5.0,0.0,9.0,66.0,0.0
00-0027854,2017,2,342.0,3.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
00-0027854,2018,3,367.0,2.0,4.0,0.575,0.0,0.0,0.0,1.0,8.0,0.0
00-0034869,2018,13,2661.0,20.0,15.0,0.538,0.0,0.0,0.0,32.0,148.0,1.0
00-0034869,2019,13,2818.0,19.0,13.0,0.575,0.0,0.0,0.0,20.0,77.0,2.0
00-0034869,2020,12,1976.0,11.0,11.0,0.545,0.0,0.0,0.0,30.0,224.0,2.0
00-0034869,2021,12,2325.0,10.0,13.0,0.55,0.0,0.0,0.0,40.0,233.0,5.0
00-0034869,2022,6,1065.0,7.0,3.0,0.558,0.0,0.0,0.0,23.0,109.0,3.0
00-0034869,2023,10,257.0,2.0,1.0,0.549,0.0,0.0,0.0,8.0,28.0,1.0
00-0036879,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0
00-0036879,2022,4,486.0,5.0,3.0,0.557,0.0,0.0,0.0,16.0,88.0,0.0
00-0037077,2022,1,158.0,1.0,1.0,0.5,0.0,0.0,0.0,4.0,36.0,1.0
00-0037077,2023,17,3499.0,26.0,21.0,0.571,1.0,4.0,0.0,45.0,269.0,5.0
00-0039065,2023,17,0.0,0.0,0.0,0.0,86.0,893.0,10.0,1.0,4.0,0.0
00-0033526,2017,13,0.0,0.0,0.0,0.0,22.0,182.0,1.0,175.0,603.0,1.0
00-0033526,2018,4,0.0,0.0,0.0,0.0,3.0,5.0,0.0,8.0,32.0,0.0
00-0033526,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0
00-0033526,2021,15,0.0,0.0,0.0,0.0,27.0,196.0,1.0,55.0,246.0,1.0
00-0033526,2022,16,0.0,0.0,0.0,0.0,38.0,287.0,4.0,96.0,394.0,2.0
00-0033526,2023,17,0.0,0.0,0.0,0.0,50.0,455.0,0.0,53.0,238.0,1.0
00-0032166,2015,1,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
00-0032166,2016,11,0.0,0.0,0.0,0.0,21.0,435.0,2.0,4.0,14.0,0.0
00-0032166,2017,5,0.0,0.0,0.0,0.0,6.0,70.0,0.0,0.0,0.0,0.0
00-0032166,2018,2,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
00-0031325,2014,16,0.0,0.0,0.0,0.0,65.0,982.0,7.0,2.0,8.0,0.0
00-0031325,2015,13,0.0,0.0,0.0,0.0,60.0,1047.0,9.0,1.0,1.0,0.0
00-0031325,2016,8,0.0,0.0,0.0,0.0,28.0,430.0,2.0,0.0,0.0,0.0
00-0031325,2017,15,0.0,0.0,0.0,0.0,39.0,593.0,8.0,0.0,0.0,0.0
00-0031325,2018,10,0.0,0.0,0.0,0.0,40.0,519.0,3.0,5.0,52.0,0.0
00-0031325,2019,13,0.0,0.0,0.0,0.0,52.0,675.0,3.0,2.0,12.0,0.0
00-0031325,2020,10,0.0,0.0,1.0,0.0,37.0,421.0,2.0,1.0,3.0,0.0
00-0031325,2021,11,0.0,0.0,0.0,0.0,27.0,394.0,3.0,0.0,0.0,0.0
00-0031325,2022,7,0.0,0.0,0.0,0.0,16.0,325.0,0.0,0.0,0.0,0.0
00-0037098,2022,4,0.0,0.0,0.0,0.0,5.0,82.0,1.0,0.0,0.0,0.0
00-0037098,2023,8,0.0,0.0,0.0,0.0,8.0,80.0,0.0,0.0,0.0,0.0
00-0020494,2012,16,0.0,0.0,0.0,0.0,41.0,573.0,8.0,3.0,14.0,0.0
00-0020494,2013,16,0.0,0.0,0.0,0.0,42.0,452.0,2.0,3.0,25.0,0.0
00-0020494,2014,5,0.0,0.0,0.0,0.0,10.0,116.0,0.0,0.0,0.0,0.0
00-0024240,2012,4,0.0,0.0,0.0,0.0,20.0,272.0,2.0,0.0,0.0,0.0
00-0024240,2013,10,0.0,0.0,0.0,0.0,23.0,456.0,3.0,0.0,0.0,0.0
00-0024240,2014,5,0.0,0.0,0.0,0.0,8.0,67.0,0.0,0.0,0.0,0.0
00-0034844,2018,16,0.0,0.0,0.0,0.0,91.0,721.0,5.0,263.0,1309.0,11.0
00-0034844,2019,13,0.0,0.0,0.0,0.0,52.0,438.0,2.0,217.0,1003.0,6.0
00-0034844,2020,2,0.0,0.0,0.0,0.0,6.0,60.0,0.0,19.0,34.0,0.0
00-0034844,2021,13,0.0,0.0,0.0,0.0,41.0,263.0,2.0,162.0,593.0,2.0
